Registration Number, Course Code, Building Name, Floor Number, Room Name, Section, Semester, Programme, Department
EMP033,MAT 2155,AB5,3,300,A,7,B.Tech.,ICT
EMP045,ICT 2155,AB5,3,300,A,7,B.Tech.,ICT
EMP034,ICT 2152,AB5,3,300,A,7,B.Tech.,ICT
EMP003,ICT 2153,AB5,3,300,A,7,B.Tech.,ICT
EMP035,ICT 2154,AB5,3,300,A,7,B.Tech.,ICT
EMP036,ICT 2151,AB5,3,301,A,7,B.Tech.,ICT
EMP037,ICT 2152,AB5,3,301,A,7,B.Tech.,ICT
EMP006,ICT 2153,AB5,3,301,A,7,B.Tech.,ICT
EMP038,ICT 2154,AB5,3,301,A,7,B.Tech.,ICT
EMP039,MAT 2155,AB5,3,301,A,7,B.Tech.,ICT
EMP040,ICT 2151,AB5,3,302,A,7,B.Tech.,ICT
EMP037,ICT 2155,AB5 ,3,302,A,7,B.Tech.,ICT
EMP007,ICT 2153,AB5,3,302,A,7,B.Tech.,ICT
EMP041,ICT 2154,AB5,3,302,A,7,B.Tech.,ICT
EMP019,HUM 4001,AB5,5,500,A,7,B.Tech.,ICT
EMP020,ICT 4101,AB5,5,500,A,7,B.Tech.,ICT
EMP021,ICT 4102,AB5,5,500,A,7,B.Tech.,ICT
EMP026,HUM 4001,AB5,5,501,A,7,B.Tech.,ICT
EMP029,ICT 4101,AB5,5,501,A,7,B.Tech.,ICT
EMP030,ICT 4102,AB5,5,501,A,7,B.Tech.,ICT
EMP026,HUM 4001,AB5,5,502,A,7,B.Tech.,ICT
EMP021,ICT 4102,AB5 ,5,502,A,7,B.Tech.,ICT
EMP010,ICT 4151,AB5,5,502,A,7,B.Tech.,ICT
EMP031,HUM 4001,AB5,5,503,A,7,B.Tech.,ICT
EMP032,ICT 4102,AB5 ,5,503,A,7,B.Tech.,ICT
EMP002,ICT 4151,AB5,5,503,A,7,B.Tech.,ICT
EMP039,MAT 2155,AB5,3,302,A,7,B.Tech.,ICT
EMP043,ICT 2151,AB5,3,303,A,7,B.Tech.,ICT
EMP034,ICT 2155,AB5,3,303,A,7,B.Tech.,ICT
EMP038,ICT 2153,AB5,3,303,A,7,B.Tech.,ICT
EMP044,ICT 2154 ,AB5,3,303,A,7,B.Tech.,ICT
EMP042,MAT 2155,AB5,3,303,A,7,B.Tech.,ICT
EMP009,ICT 3101,AB5,4,400,A,7,B.Tech.,ICT
EMP010,ICT 3102,AB5,4,400,A,7,B.Tech.,ICT
EMP011,ICT 3103,AB5,4,400,A,7,B.Tech.,ICT
EMP008,ICT 3107,AB5,4,400,A,7,B.Tech.,ICT
EMP001,ICT 3101,AB5,4,401,A,7,B.Tech.,ICT
EMP002,ICT 3102,AB5,4,401,A,7,B.Tech.,ICT
EMP003,ICT 3103,AB5,4,401,A,7,B.Tech.,ICT
EMP008,ICT 3107,AB5,4,401,A,7,B.Tech.,ICT
EMP013,ICT 3151,AB5,4,402,A,7,B.Tech.,ICT
EMP014,ICT 3152,AB5,4,402,A,7,B.Tech.,ICT
EMP015,ICT 3153,AB5,4,402,A,7,B.Tech.,ICT
EMP016,ICT 3154,AB5,4,402,A,7,B.Tech.,ICT
EMP011,ICT 3155,AB5,4,402,A,7,B.Tech.,ICT
EMP013,ICT 3151,AB5,4,403,A,7,B.Tech.,ICT
EMP014,ICT 3152,AB5,4,403,A,7,B.Tech.,ICT
EMP015,ICT 3153,AB5,4,403,A,7,B.Tech.,ICT
EMP017,ICT 3154,AB5,4,403,A,7,B.Tech.,ICT
EMP018,ICT 3155,AB5,4,403,A,7,B.Tech.,ICT
EMP020,DA 7,AB5,1,8,A,7,B.Tech.,ICT
EMP030,DA 7,AB5,1,8,A,7,B.Tech.,ICT
EMP024,DA 7,AB5,1,8,A,7,B.Tech.,ICT
EMP015,ES 5,AB5,1,2,A,7,B.Tech.,ICT
EMP010,ES 5,AB5,1,2,A,7,B.Tech.,ICT
EMP011,ITT 5,AB5,1,8,A,7,B.Tech.,ICT
EMP040,ITT 5,AB5,1,8,A,7,B.Tech.,ICT
EMP022,OS 5,AB5,1,8,A,7,B.Tech.,ICT
EMP005,OS 5,AB5,1,8,A,7,B.Tech.,ICT
EMP016,ITT 5,AB5,1,3,A,7,B.Tech.,ICT
EMP011,ITT 5,AB5,1,3,A,7,B.Tech.,ICT
EMP038,OS 5,AB5,1,8,A,7,B.Tech.,ICT
EMP001,OS 5,AB5,1,8,A,7,B.Tech.,ICT
EMP035,OS 5,AB5,1,8,A,7,B.Tech.,ICT
EMP015,ITT 5,AB5,1,5,A,7,B.Tech.,ICT
EMP017,ITT 5,AB5,1,5,A,7,B.Tech.,ICT
EMP015,ITT 5 ,AB5,1,2,A,7,B.Tech.,ICT
EMP011,ITT 5,AB5,1,2,A,7,B.Tech.,ICT
EMP001,ITT 5,AB5,1,2,A,7,B.Tech.,ICT
EMP041,ES 5,AB5,1,2,A,7,B.Tech.,ICT
EMP036,ES 5,AB5,1,2,A,7,B.Tech.,ICT
EMP040,ES 5,AB5,1,2,A,7,B.Tech.,ICT
EMP044,RUP 5,AB5,1,5,A,7,B.Tech.,ICT
EMP018,RUP 5,AB5,1,5,A,7,B.Tech.,ICT
EMP016,DBS 5,AB5,1,1,A,7,B.Tech.,ICT
EMP017,DBS 5,AB5,1,1,A,7,B.Tech.,ICT
EMP017,RUP 5,AB5,1,5,A,7,B.Tech.,ICT
EMP043,RUP 5,AB5,1,5,A,7,B.Tech.,ICT
EMP035,DS 3,AB5,1,1,A,7,B.Tech.,ICT
EMP032,DS 3,AB5,1,1,A,7,B.Tech.,ICT
EMP034,DSM 3,AB5,1,9,A,7,B.Tech.,ICT
EMP001,DSM 3,AB5,1,9,A,7,B.Tech.,ICT
EMP035,DS 3,AB5,1,3,A,7,B.Tech.,ICT
EMP032,DS 3,AB5,1,3,A,7,B.Tech.,ICT
EMP003,DSM 3,AB5,1,9,A,7,B.Tech.,ICT
EMP003,OOP 3,AB5,1,1,A,7,B.Tech.,ICT
EMP044,OOP 3,AB5,1,1,A,7,B.Tech.,ICT
EMP030,DSM 3,AB5,1,9,A,7,B.Tech.,ICT
EMP005,DSM 3,AB5,1,9,A,7,B.Tech.,ICT
EMP014,DSM 3,AB5,1,9,A,7,B.Tech.,ICT
EMP036,DS 3,AB5,1,3,A,7,B.Tech.,ICT
EMP011,DS 3,AB5,1,3,A,7,B.Tech.,ICT
EMP032,OOP 3,AB5,1,3,A,7,B.Tech.,ICT
EMP036,OOP 3,AB5,1,3,A,7,B.Tech.,ICT
EMP020,OOP 3,AB5,1,3,A,7,B.Tech.,ICT
EMP040,DSD 3,AB5,1,9,A,7,B.Tech.,ICT
EMP040,DS 3,AB5,1,4,A,7,B.Tech.,ICT
EMP016,DS 3,AB5,1,4,A,7,B.Tech.,ICT
EMP001,DSD 3,AB5,1,9,A,7,B.Tech.,ICT
EMP037,DSD 3,AB5,1,9,A,7,B.Tech.,ICT
EMP017,DSD 3,AB5,1,9,A,7,B.Tech.,ICT
EMP004,OOP 3,AB5,1,3,A,7,B.Tech.,ICT
EMP044,OOP 3,AB5,1,3,A,7,B.Tech.,ICT
EMP041,DSD 3,AB5,1,9,A,7,B.Tech.,ICT
EMP024,DS 3,AB5,1,3,A,7,B.Tech.,ICT
